Project,Client,Title,Duration
SOS1920-05,,#1 Crear Issue,00:00:48
SOS1920-05,,#1 Hacer el L02,221:47:15
SOS1920-05,,#10 Crear un issue para F03,03:27:22
SOS1920-05,,#11 Feedback,02:51:13
SOS1920-05,,#11 Feedback F03,00:01:05
SOS1920-05,,#12 retocando F03,07:10:20
SOS1920-05,,#13 Modularizacion codigo principal,01:21:44
SOS1920-05,,#14 Implementar busquedas y paginacion,03:00:37
SOS1920-05,,#15 F04 rewatching L08,01:38:43
SOS1920-05,,#16 Working on F04,05:21:52
SOS1920-05,,#17 Reviewing Postman videos,02:15:24
SOS1920-05,,#18 Issue para D01,00:02:18
SOS1920-05,,#19 Saltar mensaje error,72:48:03
SOS1920-05,,#2 F01,00:01:48
SOS1920-05,,#2 Registrar información en el repositorio común,00:12:56
SOS1920-05,,#20 D02,02:47:38
SOS1920-05,,#21 Adding features,458:15:52
SOS1920-05,,#22 Integración de otras APIs,04:04:10
SOS1920-05,,#23 Pruebas Automaticas Travis,03:58:02
SOS1920-05,,#24 Deploy on another side,23:14:14
SOS1920-05,,"#25 HighChart, AwesomeChart",05:12:29
SOS1920-05,,#26 Graphs,05:57:43
SOS1920-05,,#27 Deploying again,03:56:56
SOS1920-05,,#3 L02,00:01:01
SOS1920-05,,#30 Sorting problems,18:07:52
SOS1920-05,,#33 Integracion apis externas,22:14:23
SOS1920-05,,#33 Integracion apis externas 2,03:33:34
SOS1920-05,,#34 Adding APIs,26:45:43
SOS1920-05,,#35 Añadiendo proxy,03:19:33
SOS1920-05,,#36 Adding APIs,38:56:35
SOS1920-05,,#37 Proxy,06:18:15
SOS1920-05,,#38 Adding extenal APIs,13:56:06
SOS1920-05,,#39 Correcta integracion graficas,02:54:28
SOS1920-05,,#4 Creacion repositorio grupo,01:36:25
SOS1920-05,,#40 Comprobación diaria de las url externas y soporte diario para el consumo de mi api,06:11:33
SOS1920-05,,#41 finishing,08:46:20
SOS1920-05,,#5 Revision plantilla y finalizacion backlog,02:10:13
SOS1920-05,,#6 Revisar piazza,03:25:26
SOS1920-05,,#7 Finish everthing before feedback,00:31:07
SOS1920-05,,#8 Preparar F03,00:17:53
SOS1920-05,,#9 Realizar API REST,07:46:50
SOS1920-05,,"Viewing L04, L05 and practicing",01:53:21
SOS1920-05,,working on F04 once again,05:01:16
SOS1920-05,,,00:12:38
,,#2 F01,00:00:06
,,Completing tasks for feedback 12/03,00:44:42
,,,00:33:22
